,Date,HA,abbr,down_distance,opponent,play,team,wk,down,distance,yard_line,play_type,yards_gained,player,result,success,game_id,pa,pf,p_diff
0,2018-08-30,H,UTH,1st and 10 at UTH25,Weber St.,2-Z.Moss to UTH 26 for 1 yard.,Utah,01,1,10,UTH25,run,1,2-Z.Moss,,0,01Utah,10,41,31.0
1,2018-08-30,H,UTH,2nd and 9 at UTH26,Weber St.,1-T.Huntley complete to 18-B.Covey. 18-B.Covey to UTH 30 for 4 yards.,Utah,01,2,9,UTH26,pass,4,18-B.Covey.,,0,01Utah,10,41,31.0
2,2018-08-30,H,UTH,3rd and 5 at UTH30,Weber St.,2-Z.Moss to UTH 31 for 1 yard.,Utah,01,3,5,UTH30,run,1,2-Z.Moss,,0,01Utah,10,41,31.0
3,2018-08-30,H,UTH,4th and 4 at UTH31,Weber St.,"33-M.Wishnowsky punts 39 yards from UTH 31, out of bounds at the WBS 30.",Utah,01,4,4,UTH31,special,0,na,punt,0,01Utah,10,41,31.0
4,2018-08-30,H,UTH,1st and 10 at UTH25,Weber St.,1-T.Huntley incomplete. INTERCEPTED by 45-L.Stice at UTH 32. 45-L.Stice runs 32 yards for a touchdown.,Utah,01,1,10,UTH25,pass,0,1-T.Huntley,to,0,01Utah,10,41,31.0
5,2018-08-30,H,UTH,1st and 10 at UTH3,Weber St.,1-T.Huntley incomplete. INTERCEPTED by 45-L.Stice at UTH 32. 45-L.Stice to UTH 2 for 30 yards.,Utah,01,1,10,UTH3,pass,0,1-T.Huntley,to,0,01Utah,10,41,31.0
6,2018-08-30,H,UTH,1st and 10 at UTH4,Weber St.,18-B.Covey to WBS 49 for 47 yards.,Utah,01,1,10,UTH4,run,47,18-B.Covey,,1,01Utah,10,41,31.0
7,2018-08-30,H,UTH,1st and 10 at WBS49,Weber St.,2-Z.Moss to WBS 39 for 10 yards.,Utah,01,1,10,WBS49,run,10,2-Z.Moss,,1,01Utah,10,41,31.0
8,2018-08-30,H,UTH,1st and 10 at WBS39,Weber St.,2-Z.Moss to WBS 23 for 16 yards.,Utah,01,1,10,WBS39,run,16,2-Z.Moss,,1,01Utah,10,41,31.0
9,2018-08-30,H,UTH,1st and 10 at WBS23,Weber St.,1-T.Huntley complete to 44-J.Jackson. 44-J.Jackson to WBS 15 for 8 yards.,Utah,01,1,10,WBS23,pass,8,44-J.Jackson.,,1,01Utah,10,41,31.0
10,2018-08-30,H,UTH,2nd and 2 at WBS15,Weber St.,2-Z.Moss to WBS 1 for 14 yards.,Utah,01,2,2,WBS15,run,14,2-Z.Moss,,1,01Utah,10,41,31.0
11,2018-08-30,H,UTH,1st and 1 at WBS1,Weber St.,2-Z.Moss to WBS 3 for -2 yards.,Utah,01,1,1,WBS1,run,-2,2-Z.Moss,,0,01Utah,10,41,31.0
12,2018-08-30,H,UTH,2nd and 3 at WBS3,Weber St.,1-T.Huntley complete to 89-C.Fortheringham. 89-C.Fortheringham runs 3 yards for a touchdown.,Utah,01,2,3,WBS3,pass,3,89-C.Fortheringham.,TD,1,01Utah,10,41,31.0
13,2018-08-30,H,UTH,1st and 10 at UTH41,Weber St.,1-T.Huntley incomplete. Intended for 8-S.Mariner.,Utah,01,1,10,UTH41,pass,0,8-SMariner,,0,01Utah,10,41,31.0
14,2018-08-30,H,UTH,2nd and 10 at UTH41,Weber St.,1-T.Huntley incomplete. Intended for 25-J.Dixon.,Utah,01,2,10,UTH41,pass,0,25-JDixon,,0,01Utah,10,41,31.0
15,2018-08-30,H,UTH,3rd and 10 at UTH41,Weber St.,"1-T.Huntley incomplete. INTERCEPTED by 2-J.Harrison at WBS 34. 2-J.Harrison to WBS 34 for no gain. Penalty on WBS 20-P.Preator, Pass interference, 15 yards, enforced at UTH 41. No Play.",Utah,01,3,10,UTH41,pass,0,1-T.Huntley,to,0,01Utah,10,41,31.0
