,Date,HA,Opponent,Team,link,pa,pf,week,game_id,Abbreviation
0,08/30/2018,H,Weber St.,Utah,/game/football/fbs/2018/08/30/weber-st-utah,10,41,01,01Utah,UTH
1,08/31/2018,H,San Diego St.,Stanford,/game/football/fbs/2018/08/31/san-diego-st-stanford,10,31,01,01Stanford,STA
2,08/31/2018,A,Colorado St.,Colorado,/game/football/fbs/2018/08/31/colorado-colorado-st,13,45,01,01Colorado,COL
3,09/01/2018,A,Ohio St.,Oregon St.,/game/football/fbs/2018/09/01/oregon-st-ohio-st,77,31,01,01Oregon St.,ORS
4,09/01/2018,A,Auburn,Washington,/game/football/fbs/2018/09/01/washington-auburn,21,16,01,01Washington,WAS
5,09/01/2018,H,UNLV,Southern California,/game/football/fbs/2018/09/01/unlv-southern-california,21,43,01,01Southern California,USC
6,09/01/2018,H,Bowling Green,Oregon,/game/football/fbs/2018/09/01/bowling-green-oregon,24,58,01,01Oregon,ORE
7,09/01/2018,A,Wyoming,Washington St.,/game/football/fbs/2018/09/01/washington-st-wyoming,19,41,01,01Washington St.,WST
8,09/01/2018,H,North Carolina,California,/game/football/fbs/2018/09/01/north-carolina-california,17,24,01,01California,CAL
9,09/01/2018,H,Cincinnati,UCLA,/game/football/fbs/2018/09/01/cincinnati-ucla,26,17,01,01UCLA,UCLA
10,09/01/2018,H,UTSA,Arizona St.,/game/football/fbs/2018/09/01/utsa-arizona-st,7,49,01,01Arizona St.,ASU
11,09/01/2018,H,BYU,Arizona,/game/football/fbs/2018/09/01/byu-arizona,28,23,01,01Arizona,ARI
12,09/08/2018,A,Oklahoma,UCLA,/game/football/fbs/2018/09/08/ucla-oklahoma,49,21,02,02UCLA,UCLA
13,09/08/2018,H,North Dakota,Washington,/game/football/fbs/2018/09/08/north-dakota-washington,3,45,02,02Washington,WAS
14,09/08/2018,H,Southern California,Stanford,/game/football/fbs/2018/09/08/southern-california-stanford,3,17,02,02Stanford,STA
15,09/08/2018,A,Stanford,Southern California,/game/football/fbs/2018/09/08/southern-california-stanford,17,3,02,02Southern California,USC
16,09/08/2018,H,Michigan St.,Arizona St.,/game/football/fbs/2018/09/08/michigan-st-arizona-st,13,16,02,02Arizona St.,ASU
17,09/08/2018,H,Portland St.,Oregon,/game/football/fbs/2018/09/08/portland-st-oregon,14,62,02,02Oregon,ORE
18,09/08/2018,A,Houston,Arizona,/game/football/fbs/2018/09/08/arizona-houston,45,18,02,02Arizona,ARI
19,09/08/2018,A,Nebraska,Colorado,/game/football/fbs/2018/09/08/colorado-nebraska,28,33,02,02Colorado,COL
20,09/08/2018,A,Northern Ill.,Utah,/game/football/fbs/2018/09/08/utah-northern-ill,6,17,02,02Utah,UTH
